time,symbol,side,factor,value,ret
1775198851.1848876,STBLUSDT,LONG,normalized_total,1.5747411666651596,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,hf_ofi,-0.009,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,hf_lob_pc1,0.0,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,hf_lob_z1,0.0,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,hf_lob_z2,0.0,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,hf_fast_boost,-0.0851,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,hf_timing_score,-0.3063,4.008016032063965
1775198851.1848876,STBLUSDT,LONG,hf_microprice,0.2612,4.008016032063965
1775198988.4011455,ONGUSDT,LONG,volume_zscore,1.53506939952191,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,oi_change_pct,3.0,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,ret_1m,0.48264969255066137,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,ret_5m,0.8440643384426756,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,funding_rate,-3.0,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,ret_24h,2.406431009984424,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,raw_total,1.5775800162376736,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,normalized_total,3.610197257008291,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,hf_ofi,-0.1105,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,hf_lob_pc1,0.0,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,hf_lob_z1,0.0,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,hf_lob_z2,0.0,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,hf_fast_boost,0.136,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,hf_timing_score,-0.6718,-5.89841616602963
1775198988.4011455,ONGUSDT,LONG,hf_microprice,-0.4032,-5.89841616602963
1775198989.4286063,ONGUSDT,LONG,volume_zscore,-2.007150691873838,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,oi_change_pct,-3.0,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,ret_1m,-1.4514175285147521,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,ret_5m,0.9924177845624709,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,funding_rate,-3.0,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,ret_24h,2.4803149626693752,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,raw_total,-0.45102063786931224,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,normalized_total,-1.1184699855490254,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,hf_ofi,-0.0789,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,hf_lob_pc1,0.0,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,hf_lob_z1,0.0,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,hf_lob_z2,0.0,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,hf_fast_boost,-0.0125,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,hf_timing_score,0.5987,-7.032194264366421
1775198989.4286063,ONGUSDT,LONG,hf_microprice,1.9067,-7.032194264366421
1775199065.3960273,ONGUSDT,LONG,volume_zscore,-2.007150691873838,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,oi_change_pct,-3.0,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,ret_1m,-1.4514175285147521,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,ret_5m,0.9924177845624709,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,funding_rate,-3.0,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,ret_24h,2.4803149626693752,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,raw_total,-0.45102063786931224,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,normalized_total,-1.1184699855490254,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,hf_ofi,-0.1033,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,hf_lob_pc1,0.0,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,hf_lob_z1,0.0,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,hf_lob_z2,0.0,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,hf_fast_boost,-0.0125,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,hf_timing_score,-1.1601,-5.866076369673522
1775199065.3960273,ONGUSDT,LONG,hf_microprice,-1.291,-5.866076369673522
1775199178.7822742,APRUSDT,LONG,volume_zscore,1.3397095636062404,8.974086661002682
1775199178.7822742,APRUSDT,LONG,oi_change_pct,3.0,8.974086661002682
1775199178.7822742,APRUSDT,LONG,ret_1m,0.7069255462004745,8.974086661002682
1775199178.7822742,APRUSDT,LONG,ret_5m,2.356927466857517,8.974086661002682
1775199178.7822742,APRUSDT,LONG,funding_rate,0.22175038760037113,8.974086661002682
1775199178.7822742,APRUSDT,LONG,ret_24h,0.0939870442531936,8.974086661002682
1775199178.7822742,APRUSDT,LONG,raw_total,1.39616822486067,8.974086661002682
1775199178.7822742,APRUSDT,LONG,normalized_total,3.7333570530784614,8.974086661002682
1775199178.7822742,APRUSDT,LONG,hf_ofi,0.0936,8.974086661002682
1775199178.7822742,APRUSDT,LONG,hf_lob_pc1,0.0,8.974086661002682
1775199178.7822742,APRUSDT,LONG,hf_lob_z1,0.0,8.974086661002682
1775199178.7822742,APRUSDT,LONG,hf_lob_z2,0.0,8.974086661002682
1775199178.7822742,APRUSDT,LONG,hf_fast_boost,0.0537,8.974086661002682
1775199178.7822742,APRUSDT,LONG,hf_timing_score,-0.1938,8.974086661002682
1775199178.7822742,APRUSDT,LONG,hf_microprice,-1.1705,8.974086661002682
1775199183.3185177,APRUSDT,LONG,volume_zscore,2.368849529625672,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,oi_change_pct,1.8605490667557292,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,ret_1m,1.5855272707062202,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,ret_5m,2.24764997709078,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,funding_rate,0.22196227592667878,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,raw_total,1.3926474285953128,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,normalized_total,3.6760151955309603,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,hf_ofi,0.0168,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,hf_lob_pc1,0.0,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,hf_lob_z1,0.0,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,hf_lob_z2,0.0,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,hf_fast_boost,0.0949,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,hf_timing_score,0.3794,-0.6850758853289364
1775199183.3185177,APRUSDT,LONG,hf_microprice,-0.1283,-0.6850758853289364
1775204581.562912,TWTUSDT,LONG,volume_zscore,-0.27420184718635754,1.244090569793482
1775204581.562912,TWTUSDT,LONG,oi_change_pct,0.36304728357897526,1.244090569793482
1775204581.562912,TWTUSDT,LONG,ret_1m,0.5537031614670634,1.244090569793482
1775204581.562912,TWTUSDT,LONG,ret_5m,1.896660685912939,1.244090569793482
1775204581.562912,TWTUSDT,LONG,funding_rate,0.22779860373106456,1.244090569793482
1775204581.562912,TWTUSDT,LONG,ret_24h,0.03064987373527135,1.244090569793482
1775204581.562912,TWTUSDT,LONG,raw_total,0.38611533068558257,1.244090569793482
1775204581.562912,TWTUSDT,LONG,normalized_total,1.054716687106427,1.244090569793482
1775204581.562912,TWTUSDT,LONG,hf_ofi,0.0165,1.244090569793482
1775204581.562912,TWTUSDT,LONG,hf_lob_pc1,0.0,1.244090569793482
1775204581.562912,TWTUSDT,LONG,hf_lob_z1,0.0,1.244090569793482
1775204581.562912,TWTUSDT,LONG,hf_lob_z2,0.0,1.244090569793482
1775204581.562912,TWTUSDT,LONG,hf_fast_boost,-0.043,1.244090569793482
1775204581.562912,TWTUSDT,LONG,hf_timing_score,-0.2237,1.244090569793482
1775204581.562912,TWTUSDT,LONG,hf_microprice,-1.2249,1.244090569793482
1775204642.3666177,SAHARAUSDT,SHORT,volume_zscore,-0.4342154716607863,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,oi_change_pct,0.0992943782167286,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,ret_1m,0.38129994704035713,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,ret_5m,0.20657899287108675,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,funding_rate,1.3127057796784742,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,ret_24h,0.2033208028173249,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,raw_total,0.36533462805523853,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,normalized_total,1.0791218287776285,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,hf_ofi,0.172,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,hf_lob_pc1,-0.0,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,hf_lob_z1,-0.0,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,hf_lob_z2,-0.0,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,hf_fast_boost,-0.0175,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,hf_timing_score,1.3389,-0.9551098376312886
1775204642.3666177,SAHARAUSDT,SHORT,hf_microprice,1.6162,-0.9551098376312886
1775204701.7860703,SAPIENUSDT,LONG,volume_zscore,0.1590618948278557,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,oi_change_pct,1.9403369586843506,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,ret_1m,-0.08399972850114182,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,ret_5m,1.7980564868843087,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,funding_rate,0.22667000267159537,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,ret_24h,0.8070172344243931,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,raw_total,0.8016932145741216,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,normalized_total,2.182744117238586,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,hf_ofi,0.0004,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,hf_lob_pc1,0.0,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,hf_lob_z1,0.0,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,hf_lob_z2,0.0,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,hf_fast_boost,0.1613,-2.189381499726428
